#       [nm]       bulge  elliptical          s0          sa          sb          sc         avg
     234.725 7.51149e-16 1.19689e-15 1.66324e-15 3.94693e-15 5.36442e-15 8.33549e-15 3.54302e-15
     234.945 7.55682e-16 1.08582e-15 1.38677e-15 4.03777e-15 3.13724e-15 9.63931e-15 3.34043e-15
     235.165 7.63405e-16 9.93331e-16 1.10524e-15 4.07219e-15 3.77742e-15 1.43638e-14 4.17923e-15
     235.385 7.72190e-16 9.07044e-16 8.22039e-16 4.08780e-15 5.37333e-15 2.02281e-14 5.36508e-15
     235.604 8.24739e-16 8.86873e-16 7.74134e-16 4.05598e-15 6.46888e-15 2.38131e-14 6.13728e-15
     235.824 9.25648e-16 9.39777e-16 9.86288e-16 3.97174e-15 7.01124e-15 2.48784e-14 6.45218e-15
     236.044 1.02722e-15 9.74246e-16 1.14099e-15 3.86996e-15 7.42532e-15 2.56075e-14 6.67420e-15
     236.264 1.13140e-15 9.34975e-16 1.06582e-15 3.69811e-15 7.32613e-15 2.49915e-14 6.52466e-15
     236.484 1.23559e-15 8.95700e-16 9.90656e-16 3.52625e-15 7.22693e-15 2.43755e-14 6.37510e-15
     236.703 1.08321e-15 9.88146e-16 1.19029e-15 3.31859e-15 7.27506e-15 2.78582e-14 6.95225e-15
     236.923 9.10030e-16 1.09128e-15 1.41222e-15 3.10801e-15 7.33514e-15 3.16735e-14 7.58836e-15
     237.143 8.88799e-16 9.83099e-16 1.56135e-15 2.93590e-15 7.44444e-15 3.21719e-14 7.66425e-15
     237.363 9.49385e-16 7.61129e-16 1.67130e-15 2.78449e-15 7.58026e-15 3.08844e-14 7.43850e-15
     237.582 9.28394e-16 7.97573e-16 1.83012e-15 2.63611e-15 6.84161e-15 2.95153e-14 7.09151e-15
     237.802 7.71474e-16 1.26461e-15 2.07033e-15 2.49277e-15 4.64587e-15 2.80101e-14 6.54252e-15
     238.022 6.33878e-16 1.64067e-15 2.23133e-15 2.38899e-15 2.75422e-15 2.69565e-14 6.10094e-15
     238.242 6.70238e-16 1.19778e-15 1.67917e-15 2.64133e-15 3.60004e-15 2.99686e-14 6.62620e-15
     238.462 7.06598e-16 7.54891e-16 1.12700e-15 2.89367e-15 4.44586e-15 3.29807e-14 7.15146e-15
     238.681 6.80663e-16 7.03374e-16 1.27520e-15 2.89840e-15 5.62904e-15 3.22525e-14 7.23987e-15
     238.901 6.41517e-16 7.34847e-16 1.57192e-15 2.85062e-15 6.88377e-15 3.07312e-14 7.23564e-15
     239.121 5.99367e-16 8.14217e-16 1.92323e-15 2.95882e-15 7.69543e-15 3.14916e-14 7.58044e-15
     239.341 5.54761e-16 9.32774e-16 2.31918e-15 3.19465e-15 8.14451e-15 3.41191e-14 8.21083e-15
     239.560 5.31621e-16 1.01454e-15 2.53742e-15 3.29792e-15 8.47947e-15 3.63491e-14 8.70168e-15
     239.780 5.65060e-16 9.99333e-16 2.28726e-15 3.05179e-15 8.51370e-15 3.75316e-14 8.82479e-15
     240.000 5.98502e-16 9.84126e-16 2.03708e-15 2.80564e-15 8.54792e-15 3.87142e-14 8.94791e-15
     240.220 7.29001e-16 9.70633e-16 1.66773e-15 2.67591e-15 7.99298e-15 3.82221e-14 8.70973e-15
     240.440 8.59492e-16 9.57141e-16 1.29840e-15 2.54619e-15 7.43808e-15 3.77300e-14 8.47156e-15
     240.659 8.04198e-16 9.53075e-16 1.20281e-15 2.64443e-15 6.70721e-15 3.20098e-14 7.38693e-15
     240.879 6.78421e-16 9.52585e-16 1.21107e-15 2.82914e-15 5.90953e-15 2.43059e-14 5.98111e-15
     241.099 6.15149e-16 1.00834e-15 1.28174e-15 3.07921e-15 5.06167e-15 2.24837e-14 5.58830e-15
     241.319 6.28267e-16 1.13282e-15 1.42868e-15 3.40914e-15 4.15256e-15 2.78493e-14 6.43347e-15
     241.538 6.61423e-16 1.23501e-15 1.61333e-15 3.72203e-15 3.52073e-15 3.22953e-14 7.17463e-15
     241.758 7.89019e-16 1.23208e-15 1.97567e-15 3.95452e-15 4.19616e-15 3.24041e-14 7.42526e-15
     241.978 9.16623e-16 1.22914e-15 2.33803e-15 4.18703e-15 4.87163e-15 3.25130e-14 7.67591e-15
     242.198 9.25875e-16 1.37532e-15 2.33733e-15 4.43342e-15 5.80603e-15 3.28548e-14 7.95546e-15
     242.418 9.21980e-16 1.53806e-15 2.29629e-15 4.68138e-15 6.76925e-15 3.32224e-14 8.23823e-15
     242.637 9.73288e-16 1.53451e-15 2.28300e-15 4.59496e-15 6.97842e-15 3.30567e-14 8.23682e-15
     242.857 1.05772e-15 1.43117e-15 2.28636e-15 4.30791e-15 6.73518e-15 3.25710e-14 8.06489e-15
     243.077 1.12882e-15 1.31427e-15 2.18181e-15 4.09969e-15 6.47541e-15 3.20987e-14 7.88312e-15
     243.297 1.17515e-15 1.17214e-15 1.87681e-15 4.03783e-15 6.18486e-15 3.16513e-14 7.68301e-15
     243.516 1.21121e-15 1.05730e-15 1.61129e-15 3.98583e-15 5.94761e-15 3.11224e-14 7.48927e-15
     243.736 1.12048e-15 1.27900e-15 1.83255e-15 4.05546e-15 6.36757e-15 2.95888e-14 7.37397e-15
     243.956 1.02976e-15 1.50068e-15 2.05380e-15 4.12508e-15 6.78750e-15 2.80552e-14 7.25868e-15
     244.176 1.00843e-15 1.63858e-15 1.96198e-15 4.23920e-15 6.39240e-15 3.07790e-14 7.66993e-15
     244.396 1.00446e-15 1.75553e-15 1.79188e-15 4.36444e-15 5.79356e-15 3.45669e-14 8.21279e-15
     244.615 1.02315e-15 1.69691e-15 1.54052e-15 4.40933e-15 5.73942e-15 3.71135e-14 8.58714e-15
     244.835 1.06235e-15 1.47943e-15 1.21563e-15 4.38152e-15 6.17816e-15 3.85368e-14 8.80898e-15
     245.055 1.08904e-15 1.29351e-15 1.06941e-15 4.46333e-15 6.58661e-15 4.05544e-14 9.17605e-15
     245.275 1.07820e-15 1.20224e-15 1.45905e-15 4.87393e-15 6.90428e-15 4.43554e-14 9.97885e-15
     245.495 1.06735e-15 1.11097e-15 1.84871e-15 5.28457e-15 7.22197e-15 4.81567e-14 1.07817e-14
     245.714 1.11661e-15 9.44203e-16 2.06578e-15 4.96069e-15 6.28964e-15 5.22061e-14 1.12638e-14
     245.934 1.16740e-15 7.75512e-16 2.27842e-15 4.61801e-15 5.32534e-15 5.62615e-14 1.17377e-14
     246.154 1.21249e-15 8.26257e-16 2.17003e-15 4.12314e-15 5.35567e-15 5.14638e-14 1.08586e-14
     246.374 1.25514e-15 9.71061e-16 1.92404e-15 3.56300e-15 5.81231e-15 4.28710e-14 9.39943e-15
